,CoinName
0,42 Coin
2,404Coin
5,EliteCoin
7,Bitcoin
8,Ethereum
9,Litecoin
10,Dash
11,Monero
12,Ethereum Classic
13,ZCash
14,Bitshares
15,DigiByte
16,BitcoinDark
19,PayCoin
20,ProsperCoin
24,KoboCoin
27,Spreadcoin
37,Argentum
39,Aurora Coin
42,BlueCoin
44,MyriadCoin
45,MoonCoin
46,ZetaCoin
47,SexCoin
48,Quatloo
49,EnergyCoin
50,QuarkCoin
51,Riecoin
52,Digitalcoin 
54,BitBar
61,Catcoin
62,CryptoBullion
63,CannaCoin
73,CryptCoin
74,CasinoCoin
76,Diamond
77,Verge
80,DevCoin
81,EarthCoin
82,E-Gulden
84,Einsteinium
85,Emerald
86,Exclusive Coin
94,FlutterCoin
95,Franko
98,FeatherCoin
99,GrandCoin
100,GlobalCoin
101,GoldCoin
107,HoboNickels
110,HyperStake
112,Infinite Coin
113,IOCoin
114,IXcoin
120,KrugerCoin
122,LuckyCoin
124,Litebar 
129,MaxCoin
130,MegaCoin
131,MediterraneanCoin
133,MintCoin
135,MinCoin
137,MazaCoin
139,Nautilus Coin
140,NavCoin
144,NobleCoin
146,Namecoin
147,NyanCoin
148,OpalCoin
149,Orbitcoin
151,PotCoin
153,PhoenixCoin
155,Reddcoin
157,RonPaulCoin
162,StableCoin
168,SmartCoin
174,SuperCoin
175,SyncCoin
176,SysCoin
179,TeslaCoin
180,TigerCoin
181,TittieCoin
182,TorCoin
183,TerraCoin
186,UnbreakableCoin
187,Unobtanium
188,UroCoin
189,UnitaryStatus Dollar
190,UltraCoin
193,ViaCoin
195,VeriCoin
196,Vertcoin
197,WorldCoin
200,X11 Coin
202,Crypti
203,JouleCoin
205,StealthCoin
208,ZCC Coin
210,ByteCoin
212,DigitalNote 
214,BurstCoin
215,StorjCoin
218,MonaCoin
220,Neutron
224,FairCoin
225,Gulden
226,RubyCoin
227,PesetaCoin
228,Kore
229,Wild Beast Coin
231,Dnotes
232,Flo
234,8BIT Coin
235,Sativa Coin
239,ArtByte
244,Folding Coin
246,Ucoin
247,Unitus
248,CypherPunkCoin
251,OmniCron
254,Vtorrent
256,GreenCoin
263,Cryptonite
267,MasterCoin
273,SoonCoin
276,1Credit
281,IslaCoin
286,Nexus
289,MarsCoin 
294,Crypto
301,Anarchists Prime
302,Droidz
303,BowsCoin
307,Squall Coin
315,Song Coin
320,BitZeny
321,Diggits
322,Expanse
324,Paycon
325,Siacoin
327,Emercoin
330,EverGreenCoin
331,MindCoin
332,I0coin
333,Decred
335,Revolution VR
336,HOdlcoin
337,EDRCoin
338,Hitcoin
339,Gamecredits
341,DubaiCoin
343,CarpeDiemCoin
345,PWR Coin
347,BillaryCoin
352,GPU Coin
355,Adzcoin
358,SoilCoin
359,YoCoin
362,SibCoin
363,EuropeCoin
369,ZeitCoin
371,SwingCoin
372,SafeExchangeCoin
373,Nebuchadnezzar
375,Francs
385,BolivarCoin
391,Ratecoin
397,Revenu
403,Clockcoin
404,VIP Tokens
413,BitSend
420,Omni
422,Let it Ride
426,PutinCoin
428,iBankCoin
431,Frankywillcoin
436,MudraCoin
437,PizzaCoin
438,Lutetium Coin
440,Komodo
441,GoldBlocks
446,CarterCoin
452,Karbo
454,BitTokens
455,ZayedCoin
456,MustangCoin
458,ZoneCoin
459,Circuits of Value
462,RootCoin
463,DopeCoin
472,BitCurrency
475,DollarCoin
476,Swiscoin
478,Shilling
479,BuzzCoin
482,Opair
483,PesoBit
491,Halloween Coin
504,ZCoin
509,CoffeeCoin
516,RoyalCoin
522,GanjaCoin V2
523,TeamUP
525,LanaCoin
526,Elementrem
534,ZClassic
539,ARK
543,InsaneCoin
548,KiloCoin
555,ArtexCoin
560,EmberCoin
563,XenixCoin
565,FreeCoin
567,PLNCoin
570,AquariusCoin
571,Kurrent
572,Creatio
573,Eternity
576,Eurocoin
578,BitcoinFast
580,Stakenet
581,BitConnect Coin
585,MoneyCoin
592,Enigma
593,Cannabis Industry Coin
599,Russiacoin
600,PandaCoin
605,GameUnits
606,GAKHcoin
608,Allsafe
609,LiteCreed
622,OsmiumCoin
623,Bikercoins
626,HexxCoin
639,Klingon Empire Darsek
640,Internet of People
642,KushCoin
652,Printerium
653,PacCoin
654,Impeach
662,Citadel
663,Zilbercoin
664,FirstCoin
674,BeaverCoin
675,FindCoin
679,VaultCoin
681,Zero
682,OpenChat
683,Canada eCoin
684,Zoin
